Tên,"Giá khuyến mãi","Giá bán thường","Hình ảnh"
"Xe Điện Gấp Homesheel Airwheel E3 USA (new)",,13600000,"https://homesheel.com.vn/wp-content/uploads/2020/08/airwheel_e3_multiplefold.gif, https://homesheel.com.vn/wp-content/uploads/2020/08/homesheel-airwheel-e3-siêu-gấp-1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/08/6-1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/08/5-1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/08/4-1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/08/WeChat-Image_202008101606113.png"
"Xe Đạp Điện Gấp Gọn Homesheel R6",14490000,15690000,"https://homesheel.com.vn/wp-content/uploads/2021/05/r6-den.jpg, https://homesheel.com.vn/wp-content/uploads/2020/12/Layer-18dfsfhjh.png, https://homesheel.com.vn/wp-content/uploads/2020/12/Layer-20dfsfhjh.png, https://homesheel.com.vn/wp-content/uploads/2021/05/r6-den.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/r6.jpg, https://homesheel.com.vn/wp-content/uploads/2020/12/THE_9196.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/12.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/3.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/Airwheel_R6_smart_assist_bike_20170726142626342.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/10/R6-hinh-thuc-te-1.jpg, https://homesheel.com.vn/wp-content/uploads/2022/08/z4125482263435_9df9763988ae905bf5e347b647fb25f5.jpg"
"Xe Điện Homesheel Scooter X8 (New)",10490000,10990000,"https://homesheel.com.vn/wp-content/uploads/2021/01/homesheel-x8-tiktok-5.png, https://homesheel.com.vn/wp-content/uploads/2021/01/THE_9597.jpg, https://homesheel.com.vn/wp-content/uploads/2021/01/THE_9372.jpg, https://homesheel.com.vn/wp-content/uploads/2021/01/z4124266000139_26669e0744f03068a7c6731182a561c1.jpg"
"Xe Đạp Điện Gấp Gọn Homesheel T6-8AH",13490000,14190000,"https://homesheel.com.vn/wp-content/uploads/2021/03/xe-dien-gap-gon-homesheel-t6-900.png, https://homesheel.com.vn/wp-content/uploads/2021/03/2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/3.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/4.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/微信图片_20210329164616-1-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/微信图片_20210329164540-1-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/微信图片_20210329164537-1-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/微信图片_20210329164530-1-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/微信图片_20210329164521-1-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/THE_9572.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/165533942_1408298176189130_7882507205328393089_n.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/166941041_1408298136189134_519798806941999032_n.jpg, https://homesheel.com.vn/wp-content/uploads/2021/03/165811912_1408298119522469_6557436932360387170_n.jpg, https://homesheel.com.vn/wp-content/uploads/2022/05/z4125482274989_bd1ad272cf62035a76d7dd5c260bbfaa.jpg"
"Xe Đạp Điện Homesheel Airwheel R5 Plus",,16990000,"https://homesheel.com.vn/wp-content/uploads/2021/04/Airwheel-R5-electric_power_bicycle-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/Airwheel-R5-electric_moped_bike-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/Airwheel-R5-citizen_e-bike-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r57.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r56.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r55.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r5-4-Copy.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r53.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r52-Copy.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r51.jpg, https://homesheel.com.vn/wp-content/uploads/2021/04/r5.jpg"
"Mút cần xe điện minipro",,300000,"https://homesheel.com.vn/wp-content/uploads/2021/06/yen-mi-plus.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/yen-mi-plus.jpg"
"KHUNG XE ĐIỆN CÂN BẰNG HOMESHEEL MINIPRO",,500000,https://homesheel.com.vn/wp-content/uploads/2021/06/khung-xe-ninepot-1.jpg
"BÁNH SAU XE ĐIỆN GẤP HOMESHEEL A2",,2300000,https://homesheel.com.vn/wp-content/uploads/2021/06/mat-truoc.jpg
"SĂM BÁNH TRƯỚC  XE ĐIỆN GẤP GỌN HOMESHEEL A2",,250000,https://homesheel.com.vn/wp-content/uploads/2021/06/ruot-xe.jpg
"KHUNG XE ĐIỆN CÂN BẰNG HOMESHEEL",,450000,"https://homesheel.com.vn/wp-content/uploads/2021/06/khung-xcb.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/khungsau-xcb.jpg"
"BÁNH SAU XE ĐIỆN GẤP HOMESHEEL A ONE X",,3000000,https://homesheel.com.vn/wp-content/uploads/2021/06/dong-co-a1x.jpg
"Balo Đựng Homesheel Scooter X6",,290000,"https://homesheel.com.vn/wp-content/uploads/2021/06/z4879511969185_66c4b2f28a03b1197200ca4337caea14.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/z3723243545793_0d253a22b2734b08e6462ccd4588344c.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/z3723243550070_d6c1ded32397fe172d03d753d10fd35e.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/z3723243556008_007e91d23fb79d1805ae75a6c6bcd346.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/z4879512025190_8fbee579936c460e76780be33f063584.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/z4879511974152_f059885932dba6093868ae5898b6f97d.jpg"
"Pin xe điện cân bằng 36v, 4.4AH chính hãng HOMESHEEL - Xe cân bằng có cần",,1690000,
"Pin xe điện cân bằng 36v, 4.4AH chính hãng HOMESHEEL - Xe cân bằng không cần",,990000,
"Xe Điện Gấp Homesheel A2 PRO (USA)",13990000,15490000,"https://homesheel.com.vn/wp-content/uploads/2021/05/Xe-dien-the-thao-Homesheel-A2-2.jpg, https://homesheel.com.vn/wp-content/uploads/2019/06/Xe-dien-the-thao-Homesheel-A2-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/Xe-dien-the-thao-Homesheel-A2-3.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/Xe-dien-the-thao-Homesheel-A2-2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/A2-BAC-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/A2-BAC2.jpg, https://homesheel.com.vn/wp-content/uploads/2019/07/a2.jpg, https://homesheel.com.vn/wp-content/uploads/2019/07/A2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/09/THE_9555.jpg"
"Xe điện t21",,,
"Xe điện t21 - Bạc",,,
"Xe điện t21 - Đen",,,
"Xe điện t21 - Xanh lá",,,
"BÁNH SAU XE ĐIỆN GẤP HOMESHEEL A2 (Sao chép)",,2300000,https://homesheel.com.vn/wp-content/uploads/2021/06/mat-truoc.jpg
"MŨ BẢO HỘ, NÓN BẢO HỘ ĐI XE ĐIỆN MU01",210000,300000,"https://homesheel.com.vn/wp-content/uploads/2021/11/a82522596f1da443fd0c-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/f7e6a9b1e4f52fab76e4-scaled.jpg"
"BẢO HỘ TAY CHÂN ĐI XE ĐIỆN BT01",,280000,"https://homesheel.com.vn/wp-content/uploads/2021/11/96afc0a88dec46b21ffd-Copy.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/e7d84cd40190cace9381-Copy.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/z2946122237161_90fee7b6e0b839cc8aa3f39dc1b1a1a1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/z4476629675027_15fdc140997c4badf0a770558a740e46.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/z4476635604241_92322c596d0cb29059e2ca9f750e22b3.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/WeChat-Image_20230630155623.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/WeChat-Image_20230630155618.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/z2946122144357_9e3fb4f06d537552184e03dfd941a727-2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/z2946122091300_9fa5a636510335383f04b2b7ddd57d49-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/11/dg.jpg"
"Xe điện cân bằng Homesheel S10 PLUS",,5190000,"https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337919330_d368ef6fd96b19dff38d58c466d715c8.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337919330_d368ef6fd96b19dff38d58c466d715c8.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012338005426_5aeb61573b4a1a71a990566d23c01abf.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337980270_49c8d9f89fcd860b0bb57cf9472a1390.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337971391_2e7a838b5ae86e68fe03d528bb991b94.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337959812_3ac455abec581ed3e56faf9451758602.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337947702_0149b6f0735971300db953aa29995f87.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337938151_23146d6726ab07edab20ddb8a6332ad4.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337938150_1d85da233de2b82daf9260cbdcd53895.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3012337927937_6cbaf553c8e9aad06d9c10a481cd0944.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/z3024196465350_58f3d673c8044a50453d1c7d724f7393.jpg"
"Xe đạp điện gấp Homesheel T5S PLUS (15AH)",13490000,14690000,"https://homesheel.com.vn/wp-content/uploads/2021/12/1-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/15.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/14.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/13.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/12.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/11.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/10.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/9.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/8.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/7.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/6.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/5.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/3.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/405b2774b85772092b46.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/5e8b72a4ed8727d97e96.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/t5s-plus-xanh.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/t5s-plus.jpg, https://homesheel.com.vn/wp-content/uploads/2021/12/300520792_506574454610525_4282616206755698329_n.jpg, https://homesheel.com.vn/wp-content/uploads/2022/08/z4125482216257_b8ef08d12c551759d8041f2f0dfb65fa.jpg"
"Xe đạp điện Homesheel C20",,17990000,"https://homesheel.com.vn/wp-content/uploads/2022/01/222.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03656-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03790-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03766-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03743-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03703-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03685-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03678-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03676-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03663-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/BDG03659-scaled.jpg"
"Xe đạp điện Homesheel C17",,,"https://homesheel.com.vn/wp-content/uploads/2022/01/111-1.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075378155_d3add0b118bc4c82df24f7f8454ef7d1.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075417861_d9f4c9e7ca1ac3f0e8a744c030b8c2d7.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075414152_6aadba9666cef459cc8985f31d5551ef.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075406417_a390b9df21d95ef5a8cc073b637a9b02.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075401951_ac7311631dc1002b4656922bd7bff9d0.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075394985_96e2e34eafc6091dc358863c6874fc78-e1658912700552.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075390713_693d24e03a9f458878184dc5d4bb674d.jpg, https://homesheel.com.vn/wp-content/uploads/2022/01/z3047075384171_df4f9d10eb9837ca95effa65a1542664.jpg"
"Xe đạp điện Homesheel C17 - Đen",16990000,18990000,https://homesheel.com.vn/wp-content/uploads/2020/07/Homesheel-airwheel-R8-4.png
"Xe đạp điện Homesheel C17 - Trắng",,18990000,https://homesheel.com.vn/wp-content/uploads/2018/06/airwheel_r8.png
